,Wizkid,Davido,Burnaboy
42,Dj Cuppy x Wizkid God when 🤔🥰🥰,"I remember when Davido's snippet of FEM blew on this app, then when he released the song, some niggas on this app said the s…","🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
43,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",  Lol,           TAT at 5😍😍😭
44,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…", Do you know you can make thousands of naira selling your dead/condemned inverter batteries?we do pic… ,"Among the following Artists who have the best Album of the year in Africa???
Burnaboy     Davido       Wizkid …"
45,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",    Follow for follow
46,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…", “23” now has 5M+ streams on Spotify...
47,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",You saw the way south africans took Davido's IF and made it blew like it was their record right? Watch same thing might…," verse in this jam lives rent-free in my Amygdala 
 "
48,"Nigeria musicians that are drama free:
Wizkid
Olamide
Yemi alade
Tiwa Savage
Fireboy
Tu face",Davido understands music and he also understands the business aspect of it .Man is goated in both fields!👌❤️,"Introduction without dancing to  song is not possible 😩
First step to forever ❤️❤️❤️ "
49,"Ariana Grande and NICKI MINAJ's ""Side to Side"" has now surpassed 1 billion streams on Spotify. It’s the first all-female…", I need a RT from     for this timeless freestyle I recorded with… ,"KUBreakfastShow w/ . 

NP: ""Bebo"" by .

Listen Online: "
50, Fear nor let you write Wizkid 😅😅,"Which is your favorite combination of artist and producer with most hit songs ever?

      RT 🔃…",   twiceastall
51,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",Davido about to give us Another movie 🔥🔥🔥🔥🔥 Stay Tuned 5pm TheBestMusicVideo, real life Ft stormzy💪🏾
52,"WIZKID - SMILE FEAT. HER ON SPOTIFY!
WIZKIDFCHL
", Do you know you can make thousands of naira selling your dead/condemned inverter batteries?we do pick… , “23” now has 5M+ streams on Spotify...
53,Dj Cuppy x Wizkid God when 🤔🥰🥰,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…", “23” now has 5M+ streams on Spotify...
54,Wizkid did it better silhouettechallenge ,"On This Day 2 Years Ago, Davido Sold Out London's 02 Arena. He Became The First African Artiste To Singlehandedly Sell Ou…",MorningRushWithOsiAndAda  X  NP- Hey Boy -  x  
55,"WIZKID - MIGHTY WINE ON SPOTIFY!
WIZKIDFCHL
",“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views on Yo…, “23” now has 5M+ streams on Spotify...
56,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…,Don Gordon by  is that feel good song! Bangerrr🔥🦍
57,"WIZKID - GINGER FEAT. BURNA BOY ON SPOTIFY!
WIZKIDFCHL
",“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views on Yo…," verse in this jam lives rent-free in my Amygdala 
 "
58,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Nigeria has Davido, who do Ugandans have😒 ?", i love you. I love your lifestyle i love your music
59,"WIZKID - MADE IN LAGOS ON SPOTIFY!
WIZKIDFCHL
",. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…,"Introduction without dancing to  song is not possible 😩
First step to forever ❤️❤️❤️ "
60,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…", Do you know you can make thousands of naira selling your dead/condemned inverter batteries?we do pick… ,"We honestly don’t know what Wizkid c Burnaboy did on Ginger!! Magical spiritual 🦅!! 

Next collabo coming out sooooonnnnn"
61,"  “My brother [Wizkid] did it, I’m about to do it.” —  

OBO wants to headline the O2 Arena because…","Do you know you can make thousands of naira selling your dead/condemned inverter batteries?we do pick up anywhere,f… ","🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
62,"Discover ""Mighty Wine"" by Wizkid on MIL 
WizkidFCHL

",. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…, i love you. I love your lifestyle i love your music
63,I’ll forever be grateful to Wizkid  for giving us Tems🥺🤍,You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…," verse in this jam lives rent-free in my Amygdala 
 "
64,"METRO BOOMIE - BORROWED LOVE FEAT. WIZKID &amp; SWAE LEE ON SPOTIFY!
WIZKIDFCHL
","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…"," 
I see the G loading from behind ✈️😎 "
65,"BEYONCÉ, WIZKID &amp; SAINT JHN - BROWN SKIN GIRL FEAT. BLUE IVY ON SPOTIFY!
WIZKIDFCHL
","DaVido's JOWO hit 11M views on YouTube 😇....

TheirFather 😜 ","Introduction without dancing to  song is not possible 😩
First step to forever ❤️❤️❤️ "
66,"WizKid ft HER - Smile

",".'s A Better Time Album Has Now Crossed 143 Million Streams On Audiomack
30BG",Waiting for another single from  to feed my soul
67,"WIZKID - GRACE ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
",   Gbedu, once said: 
68,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…"," 
I see the G loading from behind ✈️😎 "
69,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views on Yo…,Waiting for another single from  to feed my soul
70,Wizkid's JORO hit 93 Million Organic Views via YouTube. 🦅🔥,      Tule joor!!,"🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
71,"STARBOY - MINE FEAT. WIZKID &amp; KEL -P ON SPOTIFY!
WIZKIDFCHL
","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…","🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
72,"WIZKID - ELEDUMARE ON SPOTIFY!
WIZKIDFCHL
","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",J hus x Burnaboy x koffee 🤯🔥
73,"WIZKID - GYRATE ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",J hus x Burnaboy x koffee 🤯🔥
74,"WIZKID - ROMA FEAT. TERRI ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"    it's not hypocrisy, most of their products are available in UK I guess. The…"
75,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",       Lmaoooo😂😂🤣🤣😂......olodo the…,"TeaBreak on YourNo1FamilyRadio with  x 

Now Playing 'Anybody' by 

 
Listen… "
76,"WIZKID - ESSENCE FEAT. TEMS ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Has to be  's Twice As Tall man
The 'Level Up' song was created in an enchanted atmosphere"
77,"WIZKID - SWEET ONE ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",     Hey burna boy I see ya
78,"WIZKID - TRUE LOVE FEAT. TAY IWAR &amp; PROJEXX ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…"
79,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","Has to be  's Twice As Tall man
The 'Level Up' song was created in an enchanted atmosphere"
80,"WIZKID - PIECE OF ME FEAT. ELLA MAI ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
",. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…,"🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time … "
81,"WIZKID - NO STRESS ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
","THE BEST - DAVIDO 💕
 DavidoAt02 ","Twitter: what’s happening?

ernal_jt: it’s ernal happening...💎

@ someone that needs to listen to this. For me  shou…"
82,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",  Lol 🦍❤
83,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Can never forget  gave us Boshe-nlo!!! Everlasting jam!

People that found out about Burnaboy today claim he came…"
84,"WIZKID - SMILE FEAT. HER ON APPLE MUSIC!
WIZKIDFCHL
WIZKIDFCAS
", Your hard work is speaking for u.....you are the best man,Legend  soke I still remember wanted to do the hoo hah stuff with the beat we doing it real …
85,"WIZKID - BLESSED FEAT. DAMIAN MARLEY ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
 ","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …","🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
86,"WIZKID - MIGHTY WINE ON APPLE MUSIC!
WIZKIDFCHL
WIZKIDFCAS
",You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…,"While everyone is claiming  THE BEST 
These are the Best 
 

 
 "
87,"The way Taibat likes J Cole reminds me of... 

My love for food
Adeola's love for Wizkid 
Abdul's love for Vodka",       Lmaoooo😂😂🤣🤣😂.....… ,"NP🔊 'Hey Boy' -  ft   
📻🎧 on WhatsUpLagos w.  💜

   
WeOwnTheMorning…"
88,"WIZKID - LONGTIME FEAT. SKEPTA ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
", You are even still THE BEST in english... I STAN!!!,"God bless our week and provide for the weak 🙌🏽
 
 
"
89,"WIZKID - GINGER FEAT. BURNA BOY ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",This is  ! Y’all move the Fxck back . Like back back back . 3 paces 🗣🗣🗣🔥🔥🔥🔥 
90,"WIZKID - RECKLESS ON APPLE MUSIC!
WIZKIDFCHL
WIZKIDFCAS
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",1️⃣5️⃣ DAYS until  drops her brand new album ”Music - Songs From And Inspired By The Motion Picture“ which features…
91,"Discover ""Ginger (feat. Burna Boy)"" by Wizkid on MIL 
WizkidFCHL
",“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views on Yo…,"Wizkid entrance at the same 02 with the mask on was crazy too , Olamide Eventim Apollo incredible , Burnaboy entrance at the…"
92,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",🙌,MorningRushWithOsiAndAda  X  NP- Hey Boy -  x  
93,"Wizkid has joined the silhouettechallenge with sweet one playing in the background 🔥🔥🔥

","I like wizkid 
I like Burna Boy 
I like Davido. 

Hope this is normal on Twitter nija?🙄🙄","🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
94,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","  Na P Dan you dey use now 😂😂😂
You no use Davido again","Wizkid entrance at the same 02 with the mask on was crazy too , Olamide Eventim Apollo incredible , Burnaboy entrance at the…"
95,"      Here 👍

There was no single ticke… ","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Yes, we are blessed but it's harder to see sometimes
Tryna find my peace of mind
You said how could we be so blind bab…"
96,"|🇬🇧 UK APPLE MUSIC ALBUM CHARTS:

13. Wizkid – MadeInLagos [=]

",         …,"Wizkid - Ginger ft Burnaboy on Apple 🍎 Music 
WizkidFCAS

"
97,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",Davido always makes sure you enjoy any song he is on.... always a vibe mahnn 😅,"Hello guys, I don't know what or how Burna boy's Music sounds like to you but to me it ginger, vibe, inspiration, advice an…"
98,"Are you a wizkid fc and you have less than 1k followers 😊
Just like,retweet and drop your handle let's follow you 🦅","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Wizkid - Ginger ft Burnaboy on Apple 🍎 Music 
WizkidFCAS

"
99,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…","Hello guys, I don't know what or how Burna boy's Music sounds like to you but to me it ginger, vibe, inspiration, advice an…"
100,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","Wizkid FC AUDIOMACK INVADERS👇🏻🔥🔥🦅
Nowplaying GINGER by Wizkid feat Burnaboy via the  app
 by…"
101,"   This wizkid??
  Stop feeding ur followers with lies

","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
102,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
103,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views on Yo…,    .. they all are good musicians... Enjoying their sound depends on the mood u… 
104,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…"," The best is yet to come
Calm down",Hmmm  any words?? 
105,Wizkid x Patoranking x Mshoza  - This Kind Luv (dj mOma Blend),“Activate” by Ghanaian Dancehall king  ft Nigerian Afrobeats heavyweight  has earned 3.4M+ views… ,  Thank you OG
106,Wizkid did it better silhouettechallenge , I love it when the Best keeps getting better.,Don Gordon by  is that feel good song! Bangerrr🔥🦍
107,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Ahead of the release of The Best.  Jowo surpassed 11M on YouTube. We are waiting for another Classic, Movie, and…","Part 3 of our analysis of BLACK IS KING is now live on ! 👑

We dissect the MASTERFUL visuals of “MOOD 4 EVA,” t…"
108,"When  said my music 🎶 travel no visa!!!Now I undersand...
Smile by wizkid-playing this morning on Italian radio…",You saw the way south africans took Davido's IF and made it blew like it was their record right? Watch same thing might…,  Good stuff
109,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","Tell  to call me 🤙 
⏳🤞🏾 ","KUBreakfastShow w/ . 

NP: ""Bebo"" by .

Listen Online: "
110,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…"," bossy. OBO. 
I need financial assistance from you sir.. School resumption and fees wahala.. Thanks sir 

3054446360
Polaris bank",A good day to watch gingervideo  x 
